Module,Unit,Standard,KC ID,Knowledge Component,Key Vocabulary
,,3.1.9-12.H,H4, use mathematical representations such as energy pyramids and percent-transfer calculations to support claims about the cycling of matter and flow of energy among organisms in an ecosystem.,"mathematical representations, energy pyramid, trophic levels"
,,3.1.9-12.K,K1," identify the four major Earth systems (biosphere, atmosphere, hydrosphere, geosphere) and describe what each system includes.","biosphere, atmosphere, hydrosphere, geosphere"
,,3.1.9-12.K,K2, explain the specific role photosynthesis plays in moving carbon from the atmosphere into living organisms.,"photosynthesis, carbon cycle, biosphere, atmosphere"
,,3.1.9-12.K,K3, explain the specific role cellular respiration plays in returning carbon from living organisms back to the atmosphere.,"cellular respiration, carbon cycle, atmosphere"
,,3.1.9-12.K,K4," develop a model to illustrate how photosynthesis and cellular respiration drive the cycling of carbon among the biosphere, atmosphere, hydrosphere, and geosphere.","model, carbon cycle, systems and system models"
,Interdependent Relationships in Ecosystems,3.1.9-12.I,I1, define carrying capacity and explain how it represents the maximum population size an ecosystem can sustainably support.,"carrying capacity, population, ecosystem"
,,3.1.9-12.I,I2, distinguish between biotic and abiotic limiting factors and give examples of each that affect population size.,"biotic, abiotic, limiting factors"
,,3.1.9-12.I,I3," explain how predation, competition, and disease each act as limiting factors that prevent populations from exceeding the carrying capacity of an ecosystem.","predation, competition, limiting factors, population"
,,3.1.9-12.I,I4, use mathematical or computational representations to support an explanation of the factors that affect the carrying capacity of ecosystems at different scales.,"scale, proportion, mathematical representations"
,,3.1.9-12.L,L1, define biodiversity and explain why ecosystems with higher biodiversity tend to be more stable and resilient.,"biodiversity, ecosystem, stability"
,,3.1.9-12.L,L2, explain how biotic factors such as predation and competition affect the size and distribution of populations in an ecosystem.,"biotic, predation, competition, population, ecosystem"
,,3.1.9-12.L,L3," explain how abiotic factors such as availability of water, nutrients, and sunlight affect the size and distribution of populations in an ecosystem.","abiotic, limiting factors, population, ecosystem"
,,3.1.9-12.L,L4, use mathematical representations to support and revise explanations about the factors affecting biodiversity and population sizes in ecosystems at different scales.,"scale, proportion, mathematical representations, biodiversity"
,,3.1.9-12.M,M1," explain how complex interactions among species (e.g., predator-prey, competition, symbiosis) help maintain relatively stable numbers and types of organisms in an ecosystem over time.","ecological relationships, niche, organism, stability"
,,3.1.9-12.M,M2, distinguish between a resilient ecosystem that recovers from a modest disturbance and one that transitions to a fundamentally different ecosystem state after an extreme disturbance.,"succession, stability and change, ecosystem resilience"
,,3.1.9-12.M,M3, explain the concept of ecological succession and describe the sequence of community changes that occur following a disturbance.,"succession, niche, ecological relationships"
,,3.1.9-12.M,M4," evaluate the claims, evidence, and reasoning behind scientific arguments about whether complex ecosystem interactions maintain stability or lead to a new ecosystem state.","claims, evidence, reasoning, stability and change"
Module  B,Inheritance and Variation of Traits,3.1.9-12.D,D1," identify and sequence the stages of the cell cycle (G1, S, G2, M phase) and describe the key biological event that occurs at each stage.","cell cycle, G1, S phase, G2, mitosis, interphase"
,,3.1.9-12.D,D2," describe the behavior and movement of chromosomes during each phase of mitosis (prophase, metaphase, anaphase, telophase) and cytokinesis.","mitosis, prophase, metaphase, anaphase, telophase, cytokinesis, chromosome"
,,3.1.9-12.D,D3, explain why the two daughter cells produced by mitosis are genetically identical to each other and to the original parent cell.,"daughter cell, genetic material, chromosome, mitosis"
,,3.1.9-12.D,D4," explain how mitosis enables a multicellular organism to grow, repair damaged tissue, and replace worn-out cells throughout its lifespan.","growth, tissue repair, multicellular, organism"
,,3.1.9-12.D,D5, explain how a single fertilized egg uses differential gene expression to produce many structurally and functionally distinct cell types during development.,"differentiation, gene expression, fertilized egg, epigenome"
,,3.1.9-12.D,D6," distinguish between totipotent, pluripotent, and multipotent stem cells and explain how a cell's developmental potential decreases as differentiation progresses.","stem cell, totipotent, pluripotent, multipotent, differentiation"
,,3.1.9-12.D,D7," use a model to illustrate how repeated cycles of mitotic division combined with progressive differentiation produce and maintain the tissues, organs, and organ systems of a complex multicellular organism.","model, tissue, organ, organ system, organism, input, output"
,,3.1.9-12.P,P1,describe the physical structure of a chromosome and explain that each chromosome consists of a DNA molecule made of two strands held together by many weak hydrogen bonds.,"chromosome, DNA, gene, nucleotides"
,,3.1.9-12.P,P2, explain that a gene is a specific segment of a chromosome's DNA and that each gene carries the instructions for producing a specific protein.,"gene, allele, DNA, chromosome, protein"
,,3.1.9-12.P,P3, explain how proteins produced from gene instructions determine an organism's characteristic traits.,"gene expression, protein, traits, inheritance"
,,3.1.9-12.P,P4," explain why all cells in an organism contain the same DNA but express different genes, resulting in different cell types.","gene expression, differentiation, DNA"
,,3.1.9-12.P,P5," identify that not all DNA codes for a protein, and explain that some DNA segments serve regulatory or structural functions while others have no currently known function.","DNA, non-coding DNA, regulatory function"
,,3.1.9-12.P,P6, ask and clarify questions about the role of DNA and chromosomes in coding for characteristic traits that are passed from parents to offspring.,"inheritance, traits, DNA, chromosome"
,,3.1.9-12.Q,Q1," explain how crossing over during meiosis I shuffles genetic material between homologous chromosomes, producing new gene combinations not present in either parent.","meiosis, crossing over, genetic variation, homologous chromosomes"
,,3.1.9-12.Q,Q2," explain how independent assortment during meiosis produces gametes with different combinations of chromosomes, contributing to genetic variation in offspring.","meiosis, independent assortment, genetic variation, gametes"
,,3.1.9-12.Q,Q3," explain how errors during DNA replication produce mutations, and distinguish between mutations that are heritable (in gametes) and those that are not (in somatic cells).","genetic mutation, DNA replication, heritable, somatic cell"
,,3.1.9-12.Q,Q4," explain how environmental factors (e.g., radiation, chemicals) can cause mutations in genes, and how viable mutations can become sources of heritable genetic variation.","genetic mutation, environmental factors, genetic variation"
,,3.1.9-12.Q,Q5," make and defend a claim, supported by evidence, that inheritable genetic variation results from new combinations through meiosis, errors during replication, and/or environmentally caused mutations.","meiosis, genetic mutation, genetic variation, heritable"
,,3.1.9-12.R,R1, distinguish between genotype (an organism's genetic makeup) and phenotype (its observable characteristics).,"genotype, phenotype"
,,3.1.9-12.R,R2, explain how the same genotype can produce different phenotypes depending on environmental conditions.,"genotype, phenotype, gene expression, environmental factors"
,,3.1.9-12.R,R3, explain how the distribution of traits in a population reflects both genetic variation and the influence of environmental factors on gene expression.,"population, traits, gene expression, genetic variation"
,,3.1.9-12.R,R4," apply concepts of probability and statistics (e.g., Punnett squares, probability distributions, data plots) to explain the variation and distribution of expressed traits in a population.","probability, statistics, population, phenotype, traits"
,Interdependent Relationships in Ecosystems,3.1.9-12.N,N1, explain how habitat destruction reduces biodiversity by eliminating the living space and resources that species need to survive.,"human disturbances, habitat destruction, biodiversity, ecosystem"
,,3.1.9-12.N,N2," explain how pollution, introduction of invasive species, overexploitation, and climate change each threaten the survival of native species and disrupt ecosystems.","invasive species, overexploitation, pollution, climate change, biodiversity"
,,3.1.9-12.N,N3," evaluate a proposed solution for reducing the impact of a specific human activity on an ecosystem, using scientific knowledge and prioritized criteria to assess its effectiveness and trade-offs.","biodiversity, stability and change, ecosystem"
,,3.1.9-12.N,N4," design and refine a solution to a real-world problem caused by human activity that threatens biodiversity, justifying decisions using student-generated and scientific evidence.","human disturbances, biodiversity, design solution"
,,3.1.9-12.O,O1," identify and describe specific examples of group behavior in animals (e.g., schooling, herding, cooperative hunting, division of labor in colonies).","group behaviors, species"
,,3.1.9-12.O,O2," explain why group behavior evolved through natural selection, describing the specific survival and reproductive advantages membership in a group provides to individuals and their genetic relatives.","natural selection, evolution, genetic relatedness, group behaviors"
,,3.1.9-12.O,O3, distinguish between correlation and causation when analyzing data about the relationship between group behavior and survival or reproductive success.,"cause and effect, correlation, empirical evidence"
,,3.1.9-12.O,O4, evaluate claims and evidence about how a specific group behavior increases the likelihood of survival and reproduction for individuals and their genetic relatives.,"group behaviors, genetic relatedness, cause and effect"
,,3.1.9-12.V,V1, explain how human-induced environmental changes contribute to the expansion of some species and the decline or extinction of others.,"human disturbances, biodiversity, speciation, biological extinction"
,,3.1.9-12.V,V2, describe the mathematical assumptions underlying a computational simulation of human impact on biodiversity.,"biodiversity, speciation, biological extinction, mathematical model"
,,3.1.9-12.V,V3," create or revise a computational simulation to test a proposed solution that mitigates adverse human impacts on biodiversity, and interpret the simulation's output.","biodiversity, simulation, human disturbances, cause and effect"
,Natural Selection and Evolution,3.1.9-12.S,S1," explain how the fossil record provides evidence for biological evolution, including the appearance and disappearance of species over time.","evolution, fossil record, evolutionary evidence"
,,3.1.9-12.S,S2," explain how similarities and differences in DNA sequences among species provide evidence for common ancestry, with greater sequence similarity indicating more recent common ancestry.","DNA, evolution, evolutionary evidence, common ancestry"
,,3.1.9-12.S,S3," explain how similarities in amino acid sequences, anatomical structures, and embryological development across species provide additional lines of evidence for common ancestry.","amino acid, anatomical homology, embryological evidence, evolutionary evidence"
,,3.1.9-12.S,S4, explain how the ongoing process of branching descent produces multiple lines of descent that can be inferred by comparing the DNA and anatomy of living organisms.,"common ancestry, evolution, divergent evolution"
,,3.1.9-12.S,S5," communicate scientific information that common ancestry and biological evolution are supported by multiple independent lines of empirical evidence, using oral, graphical, textual, or mathematical formats.","evolution, evolutionary evidence, patterns"
,,3.1.9-12.T,T1," explain the reproductive potential of populations, describing why populations would grow exponentially without limiting factors.","natural selection, evolution, reproductive potential"
,,3.1.9-12.T,T2," explain how heritable genetic variation, produced by mutation and sexual reproduction, provides the raw material on which natural selection acts.","genetic variation, mutation, heritable, natural selection"
,,3.1.9-12.T,T3, explain how competition among individuals for limited resources results in differential survival based on heritable traits.,"competition, natural selection, biological fitness, limited resources"
,,3.1.9-12.T,T4," explain how individuals with advantageous heritable traits are more likely to survive, reproduce, and pass those traits to the next generation.","biological fitness, natural selection, heritable, reproduction"
,,3.1.9-12.T,T5," construct an explanation, supported by evidence, for how the four factors of evolution (reproductive potential, heritable variation, competition, differential reproduction) together drive the evolutionary process.","natural selection, evolution, biological fitness, genetic variation, mutation, competition"
,,3.1.9-12.U,U1," define biological fitness in terms of an organism's ability to survive and reproduce in its environment, distinguishing fitness from physical strength.","biological fitness, natural selection, evolution"
,,3.1.9-12.U,U2, explain how natural selection changes allele frequencies in a population over successive generations when one allele confers a survival or reproductive advantage.,"allele frequency, natural selection, biological fitness"
,,3.1.9-12.U,U3, apply concepts of statistics and probability to support explanations that organisms with an advantageous heritable trait tend to increase in proportion to organisms lacking that trait across generations.,"allele frequency, natural selection, biological fitness, probability, patterns"
,,3.1.9-12.W,W1," define adaptation and distinguish between anatomical, behavioral, and physiological adaptations, giving an example of each.","adaptation, biological fitness, natural selection"
,,3.1.9-12.W,W2," explain how differential survival and reproduction of individuals with advantageous heritable traits leads, over many generations, to a population that is better adapted to its environment.","adaptation, natural selection, biological fitness, evolution"
,,3.1.9-12.W,W3," construct an explanation, supported by valid evidence, for how natural selection operating on heritable variation produces adaptation of populations over time.","adaptation, biological fitness, natural selection, evolution"
,,3.1.9-12.X,X1, explain how favorable environmental changes can increase the number of individuals of species whose traits are well-suited to the new conditions.,"biodiversity, species, natural selection"
,,3.1.9-12.X,X2," explain how populations diverging under different environmental conditions can accumulate different genetic changes over time, eventually leading to the emergence of new species (speciation).","speciation, divergent evolution, genetic variation"
,,3.1.9-12.X,X3, explain why species become extinct when individuals can no longer survive and reproduce in an altered environment and the change is too rapid or drastic for adaptation to occur.,"extinction, biodiversity, species, convergent evolution"
,,3.1.9-12.X,X4," evaluate evidence supporting claims that environmental changes may result in population increases for some species, speciation, or extinction, distinguishing between causal relationships and correlations.","biodiversity, speciation, extinction, divergent evolution, convergent evolution, cause and effect"
